Player,Category
,Overseas
= Overseas player,Overseas
Aaqib Khan,Indian
Aaron Varghese,Indian
Aarya Desai,Indian
Abdul Bazith,Indian
Abhilash Shetty,Indian
Abhimanyu Easwaran,Indian
Abhimanyusingh Rajput,Indian
Abhinav Manohar,Indian
Abhinav Tejrana,Indian
Abhishek Pathak,Indian
Abid Mushtaq,Indian
Ackeem Auguste,Overseas
Adam Milne,Overseas
Adarsh Singh,Indian
Ahammed Imran,Indian
Ajitesh Guruswamy,Indian
Akash Deep,Indian
Akash Madhwal,Indian
Akash Pugazhanthi,Indian
Akeal Hosein,Overseas
Akhil Scaria,Indian
Akshat Raghuwanshi,Indian
Akshu Bajwa,Indian
Alzarri Joseph,Overseas
Aman Khan,Indian
Aman Rao Perala,Indian
Aman Shekhawat,Indian
Amit Kumar,Indian
Ankit Kumar,Indian
Anmolpreet Singh,Indian
Anrich Nortje,Overseas
Anuj Thakral,Indian
Arab Gul,Overseas
Arfaz Mohammad,Indian
Arpit Guleria,Indian
Arpit Rana,Indian
Arsh Kabir Ranga,Indian
Aryaman Singh Dhaliwal,Indian
Ashok Sharma,Indian
Atal Rai,Indian
Atharva Ankolekar,Indian
Atharva Taide,Indian
Atif Mushtaq,Indian
Atit Sheth,Indian
Auqib Dar,Indian
Ayaz Khan,Indian
Ayush Doseja,Indian
Ayush Vartak,Indian
Bailapudi Yeswanth,Indian
Bal Krishna,Indian
Bayanda Majola,Overseas
Beau Webster,Overseas
Ben Duckett,Overseas
Ben Dwarshuis,Overseas
Ben Sears,Overseas
Benjamin McDermott,Overseas
Bevon-John Jacobs,Overseas
Bhanu Pania,Indian
Billy Stanlake,Overseas
Binura Fernando,Overseas
Bipin Saurabh,Indian
Blessing Muzarabani,Overseas
Brijesh Sharma,Indian
C.Rakshann Readdi,Indian
Cameron Green,Overseas
Chama Milind,Indian
Charith Asalanka,Overseas
Chetan Sakariya,Indian
Chintal Gandhi,Indian
Chris Green,Overseas
Connor Esterhuizen,Overseas
Cooper Connolly,Overseas
Daksh Kamra,Indian
Daniel Lategan,Overseas
Daniel Lawrence,Overseas
Daniel Sams,Overseas
Danish Malewar,Indian
Darshan Nalkande,Indian
Daryl Mitchell,Overseas
Dasun Shanaka,Overseas
David Miller,Overseas
Deepak Hooda,Indian
Deependra Singh,Indian
Delano Potgieter,Overseas
