Player,Category,Role,BasePrice_Lakh,Set,Set_2026,Age
Aaqib Khan,Indian,BOWLER,30,38,UFA6,22
Aaron Varghese,Indian,BATTER,30,30,UBA4,19
Aarya Desai,Indian,BATTER,30,6,UBA1,23
Abdul Bazith,Indian,ALL-ROUNDER,30,31,UAL4,27
Abhilash Shetty,Indian,BOWLER,30,26,UFA3,27
Abhimanyu Easwaran,Indian,BATTER,30,31,UBA4,30
Abhimanyusingh Rajput,Indian,ALL-ROUNDER,30,39,UAL7,27
Abhinav Manohar,Indian,BATTER,30,6,UBA1,31
Abhinav Tejrana,Indian,BATTER,30,6,UBA1,25
Abhishek Pathak,Indian,WICKETKEEPER,30,18,UWK2,29
Abid Mushtaq,Indian,ALL-ROUNDER,30,24,UAL3,29
Ackeem Auguste,Overseas,BATTER,75,11,BA2,22
Adam Milne,Overseas,BOWLER,200,14,FA2,33
Adarsh Singh,Indian,BATTER,30,23,UBA3,20
Ahammed Imran,Indian,BATTER,30,30,UBA4,19
Ajitesh Guruswamy,Indian,WICKETKEEPER,30,25,UWK3,23
Akash Deep,Indian,BOWLER,100,4,FA1,29
Akash Madhwal,Indian,BOWLER,30,9,UFA1,32
Akash Pugazhanthi,Indian,ALL-ROUNDER,30,39,UAL7,22
Akeal Hosein,Overseas,BOWLER,200,5,SP1,32
Akhil Scaria,Indian,ALL-ROUNDER,30,41,UAL9,27
Akshat Raghuwanshi,Indian,BATTER,30,16,UBA2,22
Akshu Bajwa,Indian,ALL-ROUNDER,30,42,UAL10,20
Alzarri Joseph,Overseas,BOWLER,200,22,FA3,29
Aman Khan,Indian,ALL-ROUNDER,30,17,UAL2,29
Aman Rao Perala,Indian,BATTER,30,16,UBA2,21
Aman Shekhawat,Indian,BOWLER,30,38,UFA6,25
Amit Kumar,Indian,BOWLER,30,27,USP3,23
Ankit Kumar,Indian,BATTER,30,16,UBA2,22
Anmolpreet Singh,Indian,BATTER,30,6,UBA1,28
Anrich Nortje,Overseas,BOWLER,200,4,FA1,32
Anuj Thakral,Indian,ALL-ROUNDER,30,40,UAL8,23
Arab Gul,Overseas,BOWLER,40,33,USP4,20
Arfaz Mohammad,Indian,ALL-ROUNDER,30,40,UAL8,24
Arpit Guleria,Indian,BOWLER,30,26,UFA3,28
Arpit Rana,Indian,ALL-ROUNDER,30,39,UAL7,22
Arsh Kabir Ranga,Indian,BATTER,30,23,UBA3,21
Aryaman Singh Dhaliwal,Indian,ALL-ROUNDER,30,40,UAL8,23
Ashok Sharma,Indian,BOWLER,30,9,UFA1,23
Atal Rai,Indian,BOWLER,30,36,UFA5,26
Atharva Ankolekar,Indian,ALL-ROUNDER,30,31,UAL4,25
Atharva Taide,Indian,BATTER,30,6,UBA1,25
Atif Mushtaq,Indian,BOWLER,30,36,UFA5,23
Atit Sheth,Indian,ALL-ROUNDER,30,24,UAL3,30
Auqib Dar,Indian,ALL-ROUNDER,30,7,UAL1,29
Ayaz Khan,Indian,BATTER,30,30,UBA4,23
Ayush Doseja,Indian,BATTER,30,23,UBA3,23
Ayush Vartak,Indian,ALL-ROUNDER,30,31,UAL4,21
Bailapudi Yeswanth,Indian,BOWLER,30,20,USP2,21
Bal Krishna,Indian,ALL-ROUNDER,30,37,UAL6,27
Bayanda Majola,Overseas,BOWLER,30,38,UFA6,19
Beau Webster,Overseas,ALL-ROUNDER,125,21,AL3,32
Ben Duckett,Overseas,WICKETKEEPER,200,3,WK1,31
Ben Dwarshuis,Overseas,ALL-ROUNDER,100,12,AL2,31
Ben Sears,Overseas,BOWLER,150,34,FA5,28
Benjamin McDermott,Overseas,WICKETKEEPER,75,13,WK2,31
Bevon-John Jacobs,Overseas,ALL-ROUNDER,75,21,AL3,23
Bhanu Pania,Indian,BATTER,30,23,UBA3,29
Billy Stanlake,Overseas,BOWLER,75,34,FA5,31
Binura Fernando,Overseas,BOWLER,75,34,FA5,30
Bipin Saurabh,Indian,WICKETKEEPER,30,25,UWK3,26
Blessing Muzarabani,Overseas,BOWLER,75,34,FA5,30
Brijesh Sharma,Indian,BOWLER,30,38,UFA6,27
C.Rakshann Readdi,Indian,BOWLER,30,36,UFA5,25
Cameron Green,Overseas,BATTER,200,1,BA1,26
Chama Milind,Indian,ALL-ROUNDER,30,42,UAL10,31
Charith Asalanka,Overseas,ALL-ROUNDER,100,28,AL4,28
